Utilisateur,Date,Contenu,Processed_Contenu,Sentiment
jinkv,2024-04-19 08:11:39+00:00,"Hello Maian, je me retrouve pas mal dans ce que tu dis...Le jour de l'écho de datation, j'étais aux anges d'avoir vu l'embryon pour la 1ere fois. Lui n'a pas dit un mot, juste des ""oui oui"" qd j'essayais de lancer un peu la discussion, genre t'as vu ça, et t'as vu ça... au bout de 10min je me suis lassée, je n'ai plus rien dit, il a pris son téléphone et m'a commenté l'actualité. Je lui ai répondu un peu sèchement que j'avais d'autres chats à fouetter là tout de suite...Mais d'un autre côté il me demandais quasi tous les matins si ça allait, bon pas grosse discussion sur comment je me sentais, mais déjà cette question c'était pas mal. Et surtout qd on a du faire une IMG, il est resté tout du long avec moi, et a été aux petits soins avec moi, lui qui au début n'était même pas sûre de pouvoir se libérer pour le rdv avec les généticiens pour ke résultat du test T21. Mais je lui ai expliqué un soir, en pleurs, que je ne voulais pas être seule pour cette épreuve, et il a entendu.Tous les hommes ne sont pas les mêmes, mais bcp ont en commun de ne pas savoir exprimer leurs émotions ni savoir quoi faire de l'émotion de l'autre. Non pas qu'ils ne compatissent pas, mais juste ils ne savent pas s'il faut donner une tape dans le dos, discuter (ce dont ils ont horreur donc ils évitent autant que possible), prendre quelques tâches en plus à la maison... j'avais dit à mon compagnon que parfois devant son indifférence j'avais l'impression qu'il avait changé d'avis, et que dans ce cas il fallait me le dire et je continuerais seule. Mais en fait non, c'est juste qu'il ne savait pas où était sa place, qu'il n'était pas à l'aise pour déranger son quotidien bien ordonné (le boulot avant tout, même les rdv), et qu'il avait encore du mal à se projeter.Depuis cette épreuve il veut m'accompagner à tous les rdv même les rdv gynéco ""basiques"", lui qui rechignait pour les transferts alors que sa présence était obligatoire..Bref tout ça pour dire qu'il faut essayer de communiquer, sans tomber dans le reproche, et sans chercher à ce qu'il t'ouvre son cœur car bcp d'hommes sont juste incapables de le formuler. Mais exprimer ton ressenti et tes besoins pourrait peut-être aider, dans une discussion bien cadrée (genre pas pendant que mossieur regarde le match de foot)...J'espère que ça s'arrangera pour vous deux, on sait à quel point la PMA met à l'épreuve le couple !",hello maian me retrouve mal dis jour de l écho de datation j étais aux anges d l embryon 1ere lui n a dit un oui oui qd j essayais de lancer un discussion genre t as t as bout de 10min me suis lassée n ai plus rien dit a pris téléphone m a commenté l actualité lui ai répondu un sèchement j avais d autres chats à fouetter de suite d un côté me demandais quasi matins allait grosse discussion me sentais déjà cette question c était mal surtout qd on a faire une img resté long moi a aux petits soins moi lui n était sûre de pouvoir se libérer rdv généticiens ke résultat test t21 lui ai expliqué un soir pleurs ne voulais seule cette épreuve a entendu hommes ne mêmes bcp ont commun de ne savoir exprimer leurs émotions savoir quoi faire de l émotion de l non qu ne compatissent ne savent s faut donner une tape discuter dont ont horreur évitent autant possible prendre quelques tâches plus à maison j avais dit à compagnon parfois devant indifférence j avais l impression qu avait changé d avis cas fallait me dire continuerais seule non c qu ne savait était place qu n était à l aise déranger quotidien bien ordonné boulot rdv qu avait mal à se projeter cette épreuve veut m accompagner à rdv rdv gynéco basiques lui rechignait transferts présence était obligatoire bref dire qu faut essayer de communiquer tomber reproche chercher à qu t ouvre cœur bcp d hommes incapables de formuler exprimer ressenti besoins pourrait aider une discussion bien cadrée genre pendant mossieur regarde match de foot j espère s arrangera deux on sait à point pma met à l épreuve couple,Negative
JR23,2023-12-24 11:12:46+00:00,"BonjourComme vous le voyez dans ma signature, je n’ai pas réussi à faire un bébéDepuis mon test négatif d’il y a 10 jours, je n’ai pas réussi à parler à quiconque de l’arrêt de la PMA (2 ou 3 amis ont demandé des nouvelles mais j'ai dit que je ne souhaitais pas en parler et ont respecté cela), je n’arrive pas à ressentir quoi que ce soit sauf que des larmes sortent dès que je m’autorise à me dire dans ma tête ""tu ne seras jamais mère"" alors j’évite d’y penserJe sais qu’à un moment, il faudra que me connecte à mes émotions, c’est aussi pour ça que j’écris ce message….Je suis à la croisée des chemins de ma vie et je vais prendre une branche que je n’avais jamais imaginé prendreC’est très étrange, je suis à la fois soulagée car je vais me retrouver (les hormones te font changer de personnalité je trouve), je suis à la fois effarée de mon avenir et je suis à la fois en mode Inch’Allah, la vie va m’apporter de l’inattendu quel qu'il soitJe me dis plein de choses contradictoires : je me dis que je n’ai pas tout essayé, que je n’ai pas fait Matricelab, que je continue d’avoir des ovocytes, je me dis que l’acharnement ne sert à rien, que les médecins des cliniques te font croire qu’il y a de l’espoir même petit mais qu’en fait, tout le monde sait que c’est juste une exception statistique si ça marche mais je me dis aussi (là c’est vraiment l’anonymat du forum qui me fait l’exprimer) que lors de mes prochaines conquêtes je n’insisterai absolument pas sur le préservatif car on ne sait jamaisEt en même temps, je ne veux pas rester bloquée sur un échec, je veux aller de l’avant et pour aller de l’avant, il ne faut pas ""avoir le cul entre 2 chaises"", il faut vivre sa vie pleinement dans son statut réel (=célibataire sans enfant); soit je commence le véritable chemin du deuil soit je continue l’espoir mais être entre les 2 ne m’aidera pas à vivre bien (peut-être que je suis juste dans la 1ère étape du deuil : le déni et c’est pour ça que je ne me connecte pas à mes sentiments)Je déménage le mois prochain, j’ai vendu mon appart (rien à voir avec la PMA) dans lequel je suis rentrée il y a 10 ans… j’ai réalisé l’ironie de la vie : j’avortais 15 jours après y avoir emménagé d’un sac embryonnaire dans les toilettes (je l’ai vu tomber) et je le quitterai 1 mois après un 8ème test négatif d’un parcours PMA…Bref, je me dis que seules des femmes sur ce forum pourront éventuellement trouver les bons mots  ou peut-être que je commencerai à réaliser et ressentir quelque chose quand il y aura ce nouveau lieu de vie, comme une caractérisation de ce nouveau chapitre de vie",bonjourcomme voyez signature n’ai réussi à faire un bébédepuis test négatif d’il y a 10 jour n’ai réussi à parler à quiconque de l’arrêt de pma 2 3 amis ont demandé nouvelles j ai dit ne souhaitais parler ont respecté n’arrive à ressentir quoi soit sauf larmes sortent dès m’autorise à me dire tête ne seras jamais mère j’évite d’y penserje sais qu’à un moment faudra me connecte à émotions c’est j’écris message… suis à croisée chemins de vie vais prendre une branche n’avais jamais imaginé prendrec’est étrange suis à soulagée vais me retrouver hormones te changer de personnalité trouve suis à effarée de avenir suis à mode inch’allah vie va m’apporter de l’inattendu qu soitje me dis plein de choses contradictoires me dis n’ai essayé n’ai matricelab continue d’avoir ovocytes me dis l’acharnement ne sert à rien médecins cliniques te croire qu’il y a de l’espoir petit qu’en monde sait c’est une exception statistique marche me dis c’est vraiment l’anonymat forum me l’exprimer lors de prochaines conquêtes n’insisterai absolument préservatif on ne sait jamaiset temps ne veux rester bloquée un échec veux aller de l’avant aller de l’avant ne faut cul entre 2 chaises faut vivre vie pleinement statut réel célibataire enfant soit commence véritable chemin deuil soit continue l’espoir entre 2 ne m’aidera à vivre bien suis 1ère étape deuil déni c’est ne me connecte à sentiments déménage mois prochain j’ai vendu appart rien à voir pma lequel suis rentrée y a 10 ans… j’ai réalisé l’ironie de vie j’avortais 15 jour après y emménagé d’un sac embryonnaire toilettes l’ai tomber quitterai 1 mois après un 8ème test négatif d’un parcours pma…bref me dis seules femmes forum pourront éventuellement trouver bons mots commencerai à réaliser ressentir quelque chose y aura nouveau lieu de vie une caractérisation de nouveau chapitre de vie,Neutral
Koala,2024-01-08 00:13:23+00:00,"Coucou JR23Tout d'abord je suis sincèrement désolée de lire tous les échecs que tu as endurés, et ce dernier suite auquel tu te livres ici.Je sais par où tu passes, ce sentiment d'être perdue, à la fois un peu soulagée et en même temps effrayée, et je compatie sincèrementJe ne sais pas si tu as déménagé ou pas encore, mais oui peut-être que cela va t'aider à tourner une page.Quoiqu'il en soit, suis ton intuition et tes envies, qu'elles qu'elles soient ; et si malheureusement la vie t'amène sur le chemin du deuil de la maternité, tu trouveras ce post où j'ai listé les principaux sites où trouver du soutien auprès de femmes vivant cette même épreuve :Fin de PMA sans enfant et deuil de la maternité : soutien et ressourcesCourage",coucou jr23tout d abord suis sincèrement désolée de lire échecs as endurés dernier suite auquel te livres sais passes sentiment d perdue à un soulagée temps effrayée compatie sincèrementje ne sais as déménagé oui va t aider à tourner une page quoiqu soit suis intuition envies qu qu soient malheureusement vie t amène chemin deuil de maternité trouveras post j ai listé principaux sites trouver soutien auprès de femmes vivant cette épreuve fin de pma enfant deuil de maternité soutien ressourcescourage,Neutral
Nounou84,2024-04-02 07:09:18+00:00,"Bonjour,Je m'ajoute à vous car je viens d'apprendre que ma 7 ème ponction était une fois de plus sans transfert. Je n'ai eu qu'un embryon transféré une seule fois.J'ai eu la chance d'être enceinte en début de parcours mais une fausse couche et depuis plus rien.Je suis allée voir tellement de docs et fait toutes les médecines parallèles pour m'aider mais rien.Acupuncteurs, kinesiologue, magnétiseurs, voyante, hypnothérapeute, homéopathe, ostéopathes.J'ai commandé des huiles et autres décoctions dans des pays étrangers.Bref, je ne compte pas le montant astronomique que j'ai laissé là dedans.L'année dernière, on décide de partir en DO en République Tchèque. Résultat, une fausse couche et un négatif et là aussi, un peu plus de 10 000 € de perdu et surtout mon espoir.Ma seule chance dans ce parcours c'est un mari qui lâche rien et me suis dans toutes mes envies mais ça ne change pas l'issue de notre histoire.Voilà, 8 ans de bataille pour rien sauf une immense tristesse.Je suis d'accord. On vend du rêve avec la PMA comme une solution qui aidera à coup sûr alors qu'on est bien loin du compte...Merci de m'avoir lue. J'avais besoin de dire ma peine à des personnes qui comprennent.",bonjour m ajoute à viens d apprendre 7 ème ponction était une de plus transfert n ai qu un embryon transféré une seule j ai chance d enceinte de parcours une fausse couche plus rien suis allée voir de docs toutes médecines parallèles m aider rien acupuncteurs kinesiologue magnétiseurs voyante hypnothérapeute homéopathe ostéopathes j ai commandé huiles autres décoctions pays étrangers bref ne compte montant astronomique j ai laissé l année dernière on décide de partir do république tchèque résultat une fausse couche un négatif un plus de 10 000 € de perdu surtout espoir seule chance parcours c un mari lâche rien me suis toutes envies ne change l issue de histoire voilà 8 ans de bataille rien sauf une immense tristesse suis d accord on vend rêve pma une solution aidera à sûr qu on bien loin compte merci de m lue j avais besoin de dire peine à personnes comprennent,Neutral
Saucisson,2024-04-08 09:16:13+00:00,"Coucou,je fais aussi partie de la team allaitement longj'ai menti sciemment au corps médical en disant que j'avais sevré mes enfants. Comme tu l',écris il y a plusieurs études qui prouvent que la PMA est compatible avec l'allaitement. J'avais juste vérifié que mon taux de prolactine était bien revenu à un taux très bas (normalement après 6 mois c'est ok), ce qui était le cas.Ta fille ne sait déjà plus teter. Les enfants désaprennent très vite ce qui était un réflexe inné, c'est assez incroyable. Donc effectivement, à son âge il n'y a plus de retour en arrière possible (et puis pour toi relancer une relactatation pour un enfant de 2,5 ans ça doit être coton !!).Ta fille a profité longtemps des bienfaits de l'allaitement, c'est formidable ce parcours que vous avez fait.Tu sembles fort malheureuse de cette fin anticipée. Si ce transfert était négatif, prends le temps de trouver une nouvelle routine avec ta fille et prends du temps pour toi : tu peux plus facilement partir en week-end avec tes copines ou aller te ressourcer quelque part. Avec ta fille, tu peux remplacer par un livre, un puzzle, une danse du matin...Est-ce que ça lui est déjà arrivé de partir sans vous ? Quand mes enfants partent en vacances chez leurs grand-parents, ils ont une routine différente et la tétée ne leur manque absolument pas.Il y a tout un tas de facteurs qui participent à la réussite de la PMA. Le psyché, l'âge de la femme, celui de l'homme, pleins d'autres paramètres qui se trouvent uniquement avec des examens complémentaires...Pour mon fils, à dpo15, j'ai 53UI à la prise de sang. et maintenant il a 2 ans !J'espère que ta prise de sang d'aujourd'hui sera encourageante.Vous avez décidé ensemble avec ton compagnon de sevrer ta fille, c'était la bonne décision pour vous, il ne faut pas la regretter. Je ne crois pas qu'il existe de bonne méthode pour sevrer un enfant de cet âge.Tu peux peut-être remplacer par un laitage liquide ou au moins éviter l'objet biberon ? Elle n'associera pas le bib/lait liquide au truc qui remplace le câlin de maman mais au fait de grandir et manger comme une grande ?Il y a de fortes chances que la grossesse ait de toute façon stoppé l'allaitement car il y a un moment où la production diminue fortement et l'enfant se détourne du sein.Allez courage, j'espère pour vous un petit bébé pour la nouvelle année !!",coucou fais partie de team allaitement longj ai menti sciemment corps médical disant j avais sevré enfants l écris y a plusieurs études prouvent pma compatible l allaitement j avais vérifié taux de prolactine était bien revenu à un taux bas normalement après 6 mois c était cas fille ne sait déjà plus teter enfants désaprennent vite était un réflexe inné c assez incroyable effectivement à âge n y a plus de retour arrière possible puis toi relancer une relactatation un enfant de 2 5 ans coton fille a profité longtemps bienfaits de l allaitement c formidable parcours avez sembles fort malheureuse de cette fin anticipée transfert était négatif prends temps de trouver une nouvelle routine fille prends temps toi peux plus facilement partir week end copines aller te ressourcer quelque part fille peux remplacer un livre un puzzle une danse matin lui déjà arrivé de partir enfants partent vacances chez leurs grand parents ont une routine différente tétée ne manque absolument y a un tas de facteurs participent à réussite de pma psyché l âge de femme celui de l homme pleins d autres paramètres se trouvent uniquement examens complémentaires fils à dpo15 j ai 53ui à prise de sang a 2 ans j espère prise de sang d aujourd hui sera encourageante avez décidé ensemble compagnon de sevrer fille c était bonne décision ne faut regretter ne crois qu existe de bonne méthode sevrer un enfant de cet âge peux remplacer un laitage liquide éviter l objet biberon n associera bib lait liquide truc remplace câlin de maman de grandir manger une grande y a de fortes chances grossesse ait de toute façon stoppé l allaitement y a un moment production diminue fortement l enfant se détourne sein aller courage j espère un petit bébé nouvelle année,Positive
LnBrunette,2024-04-08 10:58:11+00:00,"Saucissona écrit :↑08 avr. 2024 à 11:16Coucou,je fais aussi partie de la team allaitement longj'ai menti sciemment au corps médical en disant que j'avais sevré mes enfants. Comme tu l',écris il y a plusieurs études qui prouvent que la PMA est compatible avec l'allaitement. J'avais juste vérifié que mon taux de prolactine était bien revenu à un taux très bas (normalement après 6 mois c'est ok), ce qui était le cas.Ta fille ne sait déjà plus teter. Les enfants désaprennent très vite ce qui était un réflexe inné, c'est assez incroyable. Donc effectivement, à son âge il n'y a plus de retour en arrière possible (et puis pour toi relancer une relactatation pour un enfant de 2,5 ans ça doit être coton !!).Ta fille a profité longtemps des bienfaits de l'allaitement, c'est formidable ce parcours que vous avez fait.Tu sembles fort malheureuse de cette fin anticipée. Si ce transfert était négatif, prends le temps de trouver une nouvelle routine avec ta fille et prends du temps pour toi : tu peux plus facilement partir en week-end avec tes copines ou aller te ressourcer quelque part. Avec ta fille, tu peux remplacer par un livre, un puzzle, une danse du matin...Est-ce que ça lui est déjà arrivé de partir sans vous ? Quand mes enfants partent en vacances chez leurs grand-parents, ils ont une routine différente et la tétée ne leur manque absolument pas.Il y a tout un tas de facteurs qui participent à la réussite de la PMA. Le psyché, l'âge de la femme, celui de l'homme, pleins d'autres paramètres qui se trouvent uniquement avec des examens complémentaires...Pour mon fils, à dpo15, j'ai 53UI à la prise de sang. et maintenant il a 2 ans !J'espère que ta prise de sang d'aujourd'hui sera encourageante.Vous avez décidé ensemble avec ton compagnon de sevrer ta fille, c'était la bonne décision pour vous, il ne faut pas la regretter. Je ne crois pas qu'il existe de bonne méthode pour sevrer un enfant de cet âge.Tu peux peut-être remplacer par un laitage liquide ou au moins éviter l'objet biberon ? Elle n'associera pas le bib/lait liquide au truc qui remplace le câlin de maman mais au fait de grandir et manger comme une grande ?Il y a de fortes chances que la grossesse ait de toute façon stoppé l'allaitement car il y a un moment où la production diminue fortement et l'enfant se détourne du sein.Allez courage, j'espère pour vous un petit bébé pour la nouvelle année !!Merci beaucoup. J'avais lu les études, au fond de moi je sais bien que l'allaitement n'a rien à voir, en tout cas pas directement, avec mes échecs. Ma prolactine était + basse qu'avant grossesse. Mais, j'avais peur, et mon conjoint aussi, qu'on regrette de ne pas avoir stoppé et de ne pas ""avoir mis toutes les chances de notre côté"". Oui je suis malheureuse, je regarde la photo de notre dernière tétée et je pleure à chaque fois, je rêvais d'un co-allaitement, je voulais au moins continuer jusqu'à l'école en septembre et un peu après, pour la rassurer, lui donner ces moments qui nous connectent toutes les 2, notre bulle pour affronter la nouvelle journée. Et très brutalement, je lui ai enlevé ça. ce matin encore c'était juste affreux, elle pleurait, elle était en détresse totale, tétée tétée...Elle ne prenait plus qu'une fois par jour, on avait assez facilement enlevé celle du soir, il ne restait que le matin.Elle ne prend pas de biberon mais elle me fait clairement la tronche, elle me repousse, demande son père pour tout, bonjour la culpabilité et la tristesse. Non elle n'est jms partie sans nous, déjà là on affronte des angoisses énormes à cause des déplacements pros de son papa, les nuits c'est super dur, alors si on l'envoie chez les grands parents, j'imagine pas...J'ai vraiment ce ressenti que mon psyché bloque les chances d'une nouvelle grossesse à cause de ça, de ma culpabilité. Je vais p-e prendre RV avec la psy de mon centre, parce que là si c'est négatif (demain), ou pas top, j'aurais bcp de mal à l'accepter (coupable de trahir ma fille, coupable de saboter mon 2e enfant, je suis de toutes façons perdante dans cette histoire?!)",saucissona écrit ↑08 avr 2024 à 11 16coucou fais partie de team allaitement longj ai menti sciemment corps médical disant j avais sevré enfants l écris y a plusieurs études prouvent pma compatible l allaitement j avais vérifié taux de prolactine était bien revenu à un taux bas normalement après 6 mois c était cas fille ne sait déjà plus teter enfants désaprennent vite était un réflexe inné c assez incroyable effectivement à âge n y a plus de retour arrière possible puis toi relancer une relactatation un enfant de 2 5 ans coton fille a profité longtemps bienfaits de l allaitement c formidable parcours avez sembles fort malheureuse de cette fin anticipée transfert était négatif prends temps de trouver une nouvelle routine fille prends temps toi peux plus facilement partir week end copines aller te ressourcer quelque part fille peux remplacer un livre un puzzle une danse matin lui déjà arrivé de partir enfants partent vacances chez leurs grand parents ont une routine différente tétée ne manque absolument y a un tas de facteurs participent à réussite de pma psyché l âge de femme celui de l homme pleins d autres paramètres se trouvent uniquement examens complémentaires fils à dpo15 j ai 53ui à prise de sang a 2 ans j espère prise de sang d aujourd hui sera encourageante avez décidé ensemble compagnon de sevrer fille c était bonne décision ne faut regretter ne crois qu existe de bonne méthode sevrer un enfant de cet âge peux remplacer un laitage liquide éviter l objet biberon n associera bib lait liquide truc remplace câlin de maman de grandir manger une grande y a de fortes chances grossesse ait de toute façon stoppé l allaitement y a un moment production diminue fortement l enfant se détourne sein aller courage j espère un petit bébé nouvelle année merci beaucoup j avais lu études fond de moi sais bien l allaitement n a rien à voir cas directement échecs prolactine était basse qu grossesse j avais peur conjoint qu on regrette de ne stoppé de ne mis toutes chances de côté oui suis malheureuse regarde photo de dernière tétée pleure à rêvais d un co allaitement voulais continuer jusqu à l école septembre un après rassurer lui donner moments connectent toutes 2 bulle affronter nouvelle journée brutalement lui ai enlevé matin c était affreux pleurait était détresse totale tétée tétée ne prenait plus qu une jour on avait assez facilement enlevé celle soir ne restait matin ne prend de biberon me clairement tronche me repousse demande père bonjour culpabilité tristesse non n jms partie déjà on affronte angoisses énormes à cause déplacements pros de papa nuits c super dur on l envoie chez grands parents j imagine j ai vraiment ressenti psyché bloque chances d une nouvelle grossesse à cause de de culpabilité vais p e prendre rv psy de centre c négatif demain top j aurais bcp de mal à l accepter coupable de trahir fille coupable de saboter 2e enfant suis de toutes façons perdante cette histoire,Positive
scarlette,2022-04-25 14:58:01+00:00,"coucou les fillesje rejoins votre post car je viens aussi de vivre une grossesse biochimique.le taux est passé de 20 à 29 puis 60 pour finalement s'effondrer en quelques jours.je n'ai pas vraiment eu le temps de me réjouir que déjà la PMA m'annonçait que cela n'allait pas tenir très longtemps.heureusement que tout s'est évacué naturellement, pas de longs saignements, juste les deux premiers jours avec quand même des douleurs un peu plus costaudes que les règles habituellesje suis donc dans le cycle de repos car les saignements ont démarré le 11/04. j'ai eu une écho qui a confirmé que tout était revenu à la normale et une prise de sang pour confirmer que le taux était bien redescenduce mois-ci pas de traitement mais on peut essayer de manière naturelle, j'ai donc fait une courbe de température pour ne pas louper l'ovulation.et le mois prochain on recommence un traitement pour une IAC.",coucou fillesje rejoins post viens de vivre une grossesse biochimique taux passé de 20 à 29 puis 60 finalement s effondrer quelques jour n ai vraiment temps de me réjouir déjà pma m annonçait n allait tenir longtemps heureusement s évacué naturellement de longs saignements deux premiers jour douleurs un plus costaudes règles habituellesje suis cycle de repos saignements ont démarré 11 04 j ai une écho a confirmé était revenu à normale une prise de sang confirmer taux était bien redescenduce mois de traitement on essayer de manière naturelle j ai une courbe de température ne louper l ovulation mois prochain on recommence un traitement une iac,Neutral
Stitchette,2022-04-26 10:21:28+00:00,"Bonjour à toutes les deux.Triste de voir que cela vous est arrivé et semble arrivé bien plus souvent que je ne l'aurais pensé.Scarlettetu es la 4eme personnes avec qui je parle sur 5 ou 6 personnes en PMA actuellement qui viens de faire une FC biochimique. J'ai l'impression que ce mois d'avril était cataclismique ....C'est bizarre moi par contre pas d'écho de prévue... Mais bon vu les saignements et les caillots que j ai perdu je pense qu'il serait étonnant qu'il reste quelque chose. En plus j'étais sous aspégic nourisson depuis 1 mois donc j ai beaucoup saigné et je suis d'ailleurs très fatiguée.Par contre comme toi elle nous a dit quec'était ok mais pas de reprise avant mi/fin juin histoire de laisser souffler mon corps.Ton gynéco en pense quoi pour la suite?Elisabeth(tu m'as d'ailleurs fais rire avec ta photo) je vois que quand y'en a une il y'en a souvent plusieurs qui suivent et ca ne me rassure pas du tout. Je n'en avais jamais fais et je m'en serai bien passé car comme tu disais je pense que question larmes on a déjà donné...Et toi ton gygy qu'en dit il?Je n'arrive pas à aller sur le lien que tu m'as donné, peux tu me donner l'URL complet stpNPour ma partj essaie de faire un mail pour la gygy depuis 2 jours et lui poser des question sur le pourquoi du comment car je suis quelqu'un qui a besoin de comprendre pour avancer mais plus les jours passent plus je me dis à quoi bon le résultat est le même ...Courage à vous deux et je vous souhaites malgré tout une belle journée... autant que faire se peut en tout cas.",bonjour à toutes deux triste de voir arrivé semble arrivé bien plus souvent ne l aurais pensé scarlettetu es 4eme personnes parle 5 6 personnes pma actuellement viens de faire une fc biochimique j ai l impression mois d avril était cataclismique c bizarre moi contre d écho de prévue saignements caillots j ai perdu pense qu serait étonnant qu reste quelque chose plus j étais aspégic nourisson 1 mois j ai beaucoup saigné suis d ailleurs fatiguée contre toi a dit quec était de reprise mi fin juin histoire de laisser souffler corps gynéco pense quoi suite elisabeth m as d ailleurs fais rire photo vois y a une y a souvent plusieurs suivent ca ne me rassure n avais jamais fais m serai bien passé disais pense question larmes on a déjà donné toi gygy qu dit n arrive à aller lien m as donné peux me donner l url complet stpnpour partj essaie de faire un mail gygy 2 jour lui poser question suis quelqu un a besoin de comprendre avancer plus jour passent plus me dis à quoi résultat courage à deux souhaites malgré une belle journée autant faire se cas,Positive
Elizabeth,2022-04-26 14:38:51+00:00,"BonjourStitchetteHa ha ! Avec ses tenues colorées, j'ai de quoi changer ma photo de profil au gré de mes envies et des saisonsPlus tu échanges en PMA, plus tu réalises que faire un bébé n'est pas une chose si facile en réalité (il faut savoir qu'une grossesse dans des conditions ""normales"" c'est seulement 25% de chance de réussite ce qui n'est pas énorme finalement) et on découvre aussi qu'on n'est pas seule et ça aide un peu mine de rien.Mon 1er transfert n'aurait pas dû être réalisé car il y a eu plusieurs fautes commises pendant mon suivi. Mais rien ne dit que ça aurait fonctionné avec les bons dosages puisque le 2ème transfert a échoué lui aussi de toute façon.Ma gynéco en France n'a rien dit du tout car ""ça arrive"" et ma clinique (en Tchéquie), n'a rien dit non plus, pour eux, ça fait partie du parcours et plus on tente, plus on a des chances que ça marche.C'est vrai que sans problématique connue, il y a le facteur ""pas de chance"" contre lequel on ne peut rien. Et même lorsqu'il y a une pathologie et malgré son traitement, ce facteur demeure. On aimerait une cause identifiée qu'on traite et hop, ça marche mais ça ne fonctionne pas comme ça et je pense que c'est l'une des choses les moins évidentes (mais essentielle pourtant) à accepter : on ne maîtrise pas.Je te remets le lien (essaye de faire un clique droit ou de le copier-coller dans un nouvel onglet si ça ne fonctionne toujours pas) :viewtopic.php?t=11544&start=3840scarlette, c'est bien aussi les pauses sans (trop) y penser, sans traitement ça permet de souffler un peuTu m'as fait rire avec tes travaux pratiques(n'hésite pas rejoindre l'autre topic toi aussi)",bonjourstitchetteha ha tenues colorées j ai de quoi changer photo de profil gré de envies saisonsplus échanges pma plus réalises faire un bébé n une chose facile réalité faut savoir qu une grossesse conditions normales c 25 de chance de réussite n énorme finalement on découvre qu on n seule aide un de rien 1er transfert n aurait dû réalisé y a plusieurs fautes commises pendant suivi rien ne dit aurait fonctionné bons dosages puisque 2ème transfert a échoué lui de toute façon gynéco france n a rien dit arrive clinique tchéquie n a rien dit non plus eux partie parcours plus on tente plus on a chances marche c vrai problématique connue y a facteur de chance contre lequel on ne rien lorsqu y a une pathologie malgré traitement facteur demeure on aimerait une cause identifiée qu on traite hop marche ne fonctionne pense c l une choses évidentes essentielle pourtant à accepter on ne maîtrise te remets lien essaye de faire un clique droit de copier coller un nouvel onglet ne fonctionne toujours viewtopic php t 11544 start 3840scarlette c bien pauses y penser traitement permet de souffler un peutu m as rire travaux pratiques n hésite rejoindre l topic toi,Neutral
Stitchette,2023-06-21 17:09:53+00:00,"azeleen29a écrit :↑14 juin 2023 à 12:04Bonjour,je viens un peu à la pêche aux informations sur un vieux post (pour pas en créer un nouveau).J'en suis actuellement à ma 3eme grossesses biochimique/FC et cela commence à m'angoisser...Y a t-il des témoignages de réussite pour me donner de l'espoir ?Ou des conseils en terme de traitement et d'examen à réaliser ?Merci pour vos retours !!Coucou.Je viens seulement de voir qu'il y avait eu des nouveaux posts sous mon posts initial...Je ne viens plus trop ces derniers temps car en janvier j ai refais une fc à 11 sa +4 donc ca a été très compliqué juste après les 2 fc biochimiques juste avant.J'espère que les filles peuvent t'apporter du réconfort en tout cas et je suis sincèrement désolée que tu aies à traverser ca aussi... j ai le sentiment qu on est de plus en plus à faire des fc précoces et des fc.Que t as dis ton médecin ? As tu pu reprendre un rdv? As tu fais des examens complémentaires?D'avance, si je ne réponds pas tout de suite ne te pense pas ignoré je suis vis juste à 200 à l'heure et le côté PMA est très compliqué pour moi à gérer actuellement.Garde courage en tout cas!!!",azeleen29a écrit ↑14 juin 2023 à 12 04bonjour viens un à pêche aux informations un vieux post créer un nouveau j suis actuellement à 3eme grossesses biochimique fc commence à m angoisser y a t témoignages de réussite me donner de l espoir conseils terme de traitement d examen à réaliser merci vos retours coucou viens de voir qu y avait posts posts initial ne viens plus derniers temps janvier j ai refais une fc à 11 4 ca a compliqué après 2 fc biochimiques j espère fille peuvent t apporter réconfort cas suis sincèrement désolée aies à traverser ca j ai sentiment qu on de plus plus à faire fc précoces fc t as dis médecin as pu reprendre un rdv as fais examens complémentaires d avance ne réponds de suite ne te pense ignoré suis vis à 200 à l heure côté pma compliqué moi à gérer actuellement garde courage cas,Neutral
