Utilisateur,Date,Contenu
Melilou,2023-10-26T10:23:16+00:00,Et bah dis donc quand je lis vos messages je suis tout bonnement choqué de voir ces comportements des médecins . Certains n'ont vraiment aucun respect .Je n'ai pas eu des messages aussi durs que les vôtresMais quand je faisais mes injections et qu'ils faillait les faire les echo de monitoring d'ovulation j'allais prendre des rdv dans ces centres pas loin de chez moi . Mon centre de PMA étant loin de chez moi j'avais l'autorisation de les faire dans des centres a côté sauf que ils n'avaient pas l'habitude ...J'ai eu une gynéco qui m'a demandé pourquoi je faisais cet examen lui expliquant mon parcours _ elle m'a répondu que franchement ce que je faisais avoir un enfant comme ça c'était pas très naturel (?)J'ai eu des moment de malaise aussi avec un gynéco homme ( toutes les femmes que j'ai eu m'ont mis un petit morceau de papier pour cacher ) le mec je l'ai eu 2 fois il ne m'a rien proposé et ensuite me tape la discuté il me demande pendant qu'il me fait l'examen vaginale si on s'était pas déjà rencontré que mon visage lui disait qqch chose ... Aucune pudeur .Et une fois pendant que je faisait ma stimulation pour la ponction la c'était a mon centre de Pma. Écho de contrôle j'ai voulu demander un renseignement à la gyneco qui me faisait un examen . Elle me répond sèchement pas maintenant vos questions ! Vous en avez tellement des follicules olala ça prend du temps a tout compter ça fait du boulot !! Hyper blaséJe me suis senti très conne
Amorel35,2024-01-23T14:59:49+00:00,"La PMA est maintenant derrière moi mais je me suis replongée dans ce sujet pour aider une amie et je tombe sur ce sujet et me dis que maintenant que cela est loin, je peux, même avec le sourire, témoigner des mésaventures dans le registre ""manque d'empathie"":-number 1: je viens faire une écho après un looonnngg parcours PMA ou enfin je suis enceinte, malheureusement, à l'écran, clairement il n'y a (plus) rien. Le gynéco veut être sympa et faire au plus simple pour que j'expulse ce ""sac vide"" (mais dans ma tête c'est déjà un petit bébé à qui j'ai secrètement trouvé un prénom, à qui je parle, etc.). Je pleure, il fait comme si de rien n'était et me fait la prescription pour le médicament et me dit d'aller dans la pharmacie juste à coté (genre pas besoin d'aller confirmer l'arrêt à l'hopital ou prendre le médicament sous surveillance, sachant que j'étais à 9 SA!). Il me dit qu'il faut, une fois le médicament avalé, bouger et me conseille donc de passer l'aspirateur et de faire les vitres car en plus cela fera plaisir à mon mari !!!! en partant, il me pose une main sur l'épaule et me dit ""bon we quand même""...- number 2: j'arrive à ladite pharmacie en pleurs et tends mon ordonnance, elle m'engueule en disant qu'elle n'a pas le droit de délivrer comme ça ce médoc...je me rends compte que je me suis trompée de pharmacie...(elle voit clairement que je pleure, j'ai tout de même 36 ans et me fais engueuler comme une gamine qui aurait fait une connerie).- number 3: je vais dans la pharmacie à côté, je tends mon ordonnance (toujours les yeux embués de larmes) et là grand sourire ""ah mais vous êtes une patiente de Dr. machin ! on a un ""partenariat"" avec lui, je vous offre donc la carte de fidélité et vous aurez des réducs sur les traitements""...je ne réagis même pas tellement je suis dans un flou absolu et de souffrances...Pour la petite histoire, l'expulsion a été horrible (j'ai perdu beaucoup de sang et forte douleur) et 1 mois plus tard, j'ai dû faire un curetage, on m'a demandé pourquoi cela n'avait pas été envisagé dès le début...bref.Autres histoires, je fais une écho dans un centre à coté de chez moi pour envisager un don d'ovocyte, j'arrive, une dame d'un certain âge entre, me dit bonjour très froidement puis ""enlever votre culotte"" (déjà elle aurait pu employer un vocabulaire plus délicat, là encore, j'avais l'impression d'avoir 12 ans!), elle fait l'exam hyper vite et me dit ""vous avez un ovaire atrophié"" puis, ""vous pouvez vous rhabiller"" et elle part. J'attends un certain moment, il ne se passe rien, je sors et la secrétaire me dit juste ""on envoie le compte rendu à votre médecin""...alors certes, il y a des personnes qui ont des problèmes de santé plus grave, mais une petite explication ou un mot de réconfort ne coûte rien ! ou tout simplement me prévenir que je pouvais sortir de la pièce !!bref, bon courage à toutes (je ne dis pas à tous, car j'ai tout de même l'impression que le forum est à 99% féminin). Ce parcours est un vrai chemin de croix. Ce forum m'a beaucoup aidé, j'ai appris plein de choses, et j'arrive même à sourire de mes mésaventures maintenant."
Mymyb,2024-01-14T19:17:42+00:00,"Hello par ici,En 2021, nous avons entamé un parcours PMA avec mon mari , endométriose oblige, il nous fallait un coup de pouce.1ere fiv en novembre 2021, 1 er transfert et 1er premier succès ! J'ai eu du mal à réaliser pendant toute la grossesse la chance qu'on a eu.Bébé est né a terme en juillet 2022 et a 18mois aujourd'hui.On a un second (et dernier) embryon au frais.J'imaginais naïvement que pour mes 40 ans en 2024, on tenterai le deuxième transfert de l'embryon qui nous reste. J'ai un soucis de thyroïde à régler avant de pouvoir le faire.Seulement, papa ne veut pas de second transfert... Il veut bien d'un deuxième enfant, mais par voie naturelle.... Je tombe des nues et me retrouve complètement perdue ... Est-ce moi qui suis (déjà) trop attachée à cet embryon, cette seconde chance qu'on nous offre ?On n'arrive plus du tout à se comprendre, quand je me projette, je me dis que je lui en voudrais toute ma vie si je ne tombe pas enceinte naturellement et d'avoir manqué cette chance.Est ce que d'autres seraient passées par là ?On traverse clairement une crise dont je ne sais comment en sortir...Merci d'avance de vos retours et courage à toutes !"
Mymyb,2024-01-17T19:22:34+00:00,"Merci Azeleen29 pour ton message.Je n'arriverais pas à le déplacer pour voir un professionnel malheureusement. On est tous les deux campés sur nos positions.@Tomette :On s'était donné un an pour essais naturel avant transfert mais entre temps j'ai mon hyperthyroïdie qui est revenue et pour laquelle la gynéco PMA ne donnera pas le feu vert tant que l'endocrino ne valide pas.Et entre temps papa a revu sa position qui ne veut plus aller sur le transfert mais privilégier la voie naturelle ...J'avais refait hysteroscopie, traitement, IRM pelvienne (examens avec des longs délais on le sait bien) et à aucun moment il m'en a parlé avant ces derniers jours.Je me sens démunieMerci en tous cas de votre soutien"
Koala,2022-08-27T11:14:50+00:00,"Bonjour,Je ne vous le souhaite pas bien sûr, mais si malheureusement l'AMP ne suffisait pas à vous faire devenir parents, je crée ce sujetpour les femmes qui, comme moi, sortent du parcours PMA sans enfant et n'ont plus d'autre option possible(adoption, GPA selon votre pays, etc) ; afin de partager avec vous quelquesressources pour affronter l'épreuve de vivre sans enfant et du deuil de la maternité.Comme vous le voyez dans ma signature, nous avons fini notre long parcours PMA fin mars, les bras videset le cœur briséOu quand notre pire cauchemar devient réalité...Depuis, j'affronte ce que je redoutais le plus : devoir faire le deuil de la maternitéMême si je travaillais déjà sur ce sujet depuis 3 ans avec ma psy, ce nouveau chemin n'est pas simple à vivre non plus, c'est un travail de tous les jours, long et douloureux. J'ai déjà laissé beaucoup de plumes dans le parcours PMA, et j'en laisse encore maintenant pour essayer d'accepter une vie sans enfantmais je vais me battre pour y arriver, un pas après l'autre, un jour après l'autre...Comme lors de mon entrée en PMA, j'ai vite ressenti le besoin d'échanger avec des personnes vivant la même chose, d'où mon inscription ici et au collectif BAMP il y a 7 ans.Lorsque j'ai eu le résultatde notre ultime TEV, j'ai donc de suite cherché où pouvoir partager sur ce sujet encore si peu documenté et encore beaucoup plus tabou que la PMA. Et je trouve beaucoup de soutienet de réconfortgrâce à des espaces de soutien et d'échanges dédiés auxfemmes sans enfant par circonstances(il y a de plus en plus de communication sur les femmes sans enfant par choix, mais encore trop peu sur celles qui ne sont pas mères pour différentes raisons subies et doivent faire ce deuil si redouté).Voici donc quelques liens où vous serez les bienvenues:- le groupe de parole ""Accepter une vie sans enfant"" organisé par Sandrine du collectif BAMP(auparavant en présentiel mais depuis le Covid en virtuel sur Zoom) : surveiller surhttps://bamp.fr/les rencontres organisées par les bénévoles (si vous êtes inscrites à la newsletter, vous recevrez forcément l'information) et s'inscrire en envoyant un mail àcollectifbampvivresansenfant@gmail.comCes rencontres en visio s’adressent aux personnes qui ont définitivement renoncé à être parents:* après un parcours AMP infructueux* parce que votre demande d’adoption n’a pas abouti ou parce que vous ne souhaitez pas recourir à l’adoption- le site Fiv.frque vous connaissez bien :https://www.fiv.fr/vivre-sans-enfant-ap ... rs-de-pma/- le site ""La Parentaise""https://www.parentaise.parchemine.fr/et le blog ""Artemise aura tout essayé : du deuil de la maternité à la vie sans enfant""https://artemiseauratoutessaye.wordpress.com/(créés par Ludivine, ex-PMette qui était sur le forum lors de son parcours : je les ai découverts il y a quelques années déjà lorsque j'ai commencé à me préparer à cette éventualité)- le groupe Facebook privé ""Entre Femmes sans enfant pétillantes !""https://www.facebook.com/groups/392691221733138Cette liste est bien sûr non-exhaustive, à nous de la faire grandir en partageant d'autres sites/groupesEnfin, petit message à celles qui lisent ces lignes et qui sont directement concernées : vous n'êtes pas seulesPS : Je ne désactive pas mon compte ici pour celles qui souhaiteraient rentrer en contact avec moi"
coccinella,2022-09-12T19:08:46+00:00,"Bonsoir Koala,Merci pour cette initiative de créer ce topic qui manquait cruellement à ce forum.Je suis également très proche de la fin du parcours PMA et je cherche des témoignages de femmes sans enfant comme nous des années après. On trouve en effet des témoignages juste après la fin du parcours ou 2-3 ans après, mais je n'en ai pas vu 10, 20 ans ou plus après. Or c'est la vieillesse qui m'inquiète le plus. Je me sens condamnée à perpétuité dans une vie sans avenir.Je partage donc la difficulté comme toi à faire ce deuil.Je n'ai pas trop la force d'écrire plus sur le forum en ce moment mais je reviendrai maintenant qu'il y a un topic dédié.Encore merci de l'avoir ouvert."
lou78,2022-09-26T20:14:37+00:00,"Hello les filles, je ne suis pas concernée par le sujet mais c'est une question qui m'a forcément traversé l'esprit, comme beaucoup... et j'avais découvert lors de mes recherches le concept du ""parrainage de proximité"". Je pense que si la PMA n'avait pas fonctionné pour moi, ça m'aurait beaucoup plu de m'engager dans cette démarche pour apporter des choses à un enfant qui en a besoin... alors je dépose l'idée ici ! Je n'exclus pas d'ailleurs de le faire un jour.Le principe est assez simple : ça consiste à entrer en contact, via une association, avec des enfants de votre région qui sont dans une situation de vulnérabilité. Ca peut être des enfants dont les familles sont en situation de grande précarité, des enfants en famille d'accueil ou en foyer, des enfants qui n'ont pas de ""grande famille"" (ex : familles monoparentales), etc.L'idée est de leur consacrer du temps (ça peut aller de quelques heures à plusieurs jours par mois, en les recevant chez soi le week-end par exemple) et de leur apporter tout ce que peut apporter un cadre familial équilibré : de l'affection, du soutien, des activités pour leur ouvrir l'esprit et les faire sortir de leur quotidien. Ca peut être du sport, des balades, des sorties (musée, cinéma, parc de loisirs), des activités culturelles ou artistiques, chacun fait selon ses passions et ses moyens. Ca peut aussi être, tout bêtement, de les aider dans leur scolarité.Ca peut aller assez loin quand les parrains/marraines veulent beaucoup s'engager (on peut emmener l'enfant en vacances par exemple).Je trouve le concept très enrichissant, je pense qu'on se sent vraiment utile en faisant ça et qu'on tisse des liens très forts avec un enfant qui en a besoin. C'est aussi plus concret que le fait de parrainer un enfant à l'étranger. Le parrainage de proximité n'est pas très connu mais ça peut permettre d'avoir cette ""transmission"" qui fait partie intégrante de la parentalité.Courage à vous dans votre ""après-PMA"""
Koala,2023-01-15T12:09:51+00:00,"coccinellaa écrit :↑12 sept. 2022 à 21:08Bonsoir Koala,Merci pour cette initiative de créer ce topic qui manquait cruellement à ce forum.Je suis également très proche de la fin du parcours PMA et je cherche des témoignages de femmes sans enfant comme nous des années après. On trouve en effet des témoignages juste après la fin du parcours ou 2-3 ans après, mais je n'en ai pas vu 10, 20 ans ou plus après. Or c'est la vieillesse qui m'inquiète le plus. Je me sens condamnée à perpétuité dans une vie sans avenir.Je partage donc la difficulté comme toi à faire ce deuil.Je n'ai pas trop la force d'écrire plus sur le forum en ce moment mais je reviendrai maintenant qu'il y a un topic dédié.Encore merci de l'avoir ouvert.Coucou coccinella, désolée pour la réponse tardive, j'ai dû louper la notifComme toi l'idée de vivre et vieillir sans enfant m'angoisse.Je suis inscrite sur le groupe Facebook privé ""Entre Femmes sans enfant pétillantes !""https://www.facebook.com/groups/392691221733138qui regroupe des femmes sans enfant par circonstances de la vie (et non par choix), qu'elles soient juste au début du chemin vers le deuil de la maternité (dont je fais partie) ou qu'elles l'aient déjà fait après x années (pour certaines ça doit faire 20/30 ans). Il est intéressant de lire les témoignages de femmes qui comme nous souhaitaient plus que tout au monde être mères, mais qui ont fait leur deuil de la maternité et savourent pleinement leur vie sans enfant (et comme elles le disent, elles n'auraient jamais cru pouvoir dire ça un jour).Chacune avance à son rythme dans ce deuil, le groupe est assez actif et il y a toujours quelqu'un pour écouter, soutenir et réconforterPersonnellement cela m'aide beaucoup, en plus du suivi avec ma psy.N'hésite pas à nous y rejoindre"
Koala,2023-01-15T12:19:03+00:00,"lou78a écrit :↑26 sept. 2022 à 22:14Hello les filles, je ne suis pas concernée par le sujet mais c'est une question qui m'a forcément traversé l'esprit, comme beaucoup... et j'avais découvert lors de mes recherches le concept du ""parrainage de proximité"". Je pense que si la PMA n'avait pas fonctionné pour moi, ça m'aurait beaucoup plu de m'engager dans cette démarche pour apporter des choses à un enfant qui en a besoin... alors je dépose l'idée ici ! Je n'exclus pas d'ailleurs de le faire un jour.Le principe est assez simple : ça consiste à entrer en contact, via une association, avec des enfants de votre région qui sont dans une situation de vulnérabilité. Ca peut être des enfants dont les familles sont en situation de grande précarité, des enfants en famille d'accueil ou en foyer, des enfants qui n'ont pas de ""grande famille"" (ex : familles monoparentales), etc.L'idée est de leur consacrer du temps (ça peut aller de quelques heures à plusieurs jours par mois, en les recevant chez soi le week-end par exemple) et de leur apporter tout ce que peut apporter un cadre familial équilibré : de l'affection, du soutien, des activités pour leur ouvrir l'esprit et les faire sortir de leur quotidien. Ca peut être du sport, des balades, des sorties (musée, cinéma, parc de loisirs), des activités culturelles ou artistiques, chacun fait selon ses passions et ses moyens. Ca peut aussi être, tout bêtement, de les aider dans leur scolarité.Ca peut aller assez loin quand les parrains/marraines veulent beaucoup s'engager (on peut emmener l'enfant en vacances par exemple).Je trouve le concept très enrichissant, je pense qu'on se sent vraiment utile en faisant ça et qu'on tisse des liens très forts avec un enfant qui en a besoin. C'est aussi plus concret que le fait de parrainer un enfant à l'étranger. Le parrainage de proximité n'est pas très connu mais ça peut permettre d'avoir cette ""transmission"" qui fait partie intégrante de la parentalité.Courage à vous dans votre ""après-PMA""Salut lou78,Le concept de parrainage de proximité est intéressant, merci d'avoir déposé l'idée ici.Me concernant, ce n'est pas envisageable car je m'attacherais trop à l'enfant, mais cela peut peut-être convenir à d'autres personnes."
Justmay,2023-05-25T11:56:22+00:00,"Salut Pouki08,Tu es encore jeune je trouve pour renoncer à la maternité, et quand on voit ton parcours PMA dans ta signature on a l'impression que tu as eu affaire à des branquignoles... Je ne sais pas dans quelle région tu résides, mais je pense que tu devrais commencer par trouver du changement côté médecin et prise en charge.Renonce pas tu es jeune tu vas y arriver.Allez courage !"
Koala,2024-01-07T19:44:03+00:00,"Pouki08a écrit :↑25 mai 2023 à 13:34Mon conjoint a déjà un enfant, il dit que je ne suis pas seule dans notre projet mais il reconnaît ressentir une peine différente de la mienne.On se marie bientôt et franchement, voir son enfant une semaine sur deux, devient de plus en plus pénible. Ça me confronte à ma réalité. Je deviens aigrie.Quand il parle de son ex, que sa fille lui ressemble.. j'ai envie d'hurler et de claquer la porte.Je ne sais plus quoi faire.Je comprends tellement, et je compatie sincèrement, car j'étais dans la même situation : mon mari a eu 2 fils de 2 précédentes unions, et même si aujourd'hui ils sont étudiants et ont leur appart, je les ai connus jeunes (8 et 6 ans) et vivre avec l'aîné 1 week sur 2, et avec le 2ème 1 semaine sur 2, ça a été vraiment très difficile d'autant plus que c'était pendant notre parcours PMA qui a duré 8 ans et qu'ils ignoraient, surtout quand au final on en ressort sans enfant et qu'il faut continuer de prendre sur soi face aux enfants.Mon mari aussi a toujours dit qu'il était triste lors de chaque échec et de la fin de PMA sans enfant, mais qu'il est surtout triste pour moi et de voir la douleur que ça m'occasionne.Je ne sais pas où vous en êtes aujourd'hui, mais j'espère de tout cœur que vous avancez et que vous restez soudés ; et que les médecins ont aussi exploré sa fertilité, car même si comme mon mari il a déjà été père, avec le temps sa fertilité a pu être éprouvée, et il est préférable d'avoir toutes les infos et la situation réelle des 2 côtés pour avoir toutes les cartes en mains pour explorer éventuellement de nouveaux protocoles, etc.Si ce n'est pas le cas, comme les filles je te recommande vivement de prendre un autre avis, voire de changer de centre.Bon courage et j'espère qu'une bonne nouvelle pointera bientôt le bout de son nez"
pmette23,2023-10-20T07:54:18+00:00,"Coucou,Alors moi ça m'est arrivé pendant les stimulations, j'avais un ventre bien gonflé (faut dire que de base j'ai du ventre), j'avais un petit souci, je suis allée chez mon médecin traitant (qui, je le précise, était au courant de mon parcours PMA !!!) et sa première réaction ""Ah bonjour Mme Pmette, félicitations, je suis super content pour vous !!"".Je l'ai même pas regardé, j'ai sorti un ""ah non c'est les stimulations"" et je suis allée directement m'asseoir, il a même pas réagi, il a changé de sujet. Je ne sais pas ce qu'il faut dire, je pense que les gens se sentent bien idiots après et mal à l'aise et je me contente de ça mais vu nos parcours, c'est compliqué à encaisser. De mon côté, j'avais surtout la famille qui me sortait des ""ben alors c'est pour bientôt"" et des connaissances avec des ""non mais je suis sûre que Pmette ne veut pas d'enfant, sinon, elle en aurait déjà, vu son âge"".Bref, j'apporte rien à part la compassion, et t'envoie plein de bonnes ondes."
MathildeJ,2023-11-07T14:16:39+00:00,"Bonjour les filles !Alors moi aussi j'ai un ventre ""rond"", peut-être parce que je suis pas mal cambrée, et parce que j'ai pris du poids depuis plusieurs années avant même la PMA. Mais heureusement, je n'ai pas eu de remarque de ce type frontalement, je sais seulement que des collègues se sont posé des questions au printemps en particulier. Mais je ne sais pas si c'était à cause de ma silhouette ou de mon humeur ! De fait, j'étais enceinte... de deux semaines. Donc ce ne sont pas les changements physiques de la grossesse qu'elles ont remarqués !!La grossesse s'est terminée avant la fin du premier trimestre... Et depuis, j'appréhende particulièrement les remarques que tu rapportes, j'ai très peur de mal y réagir !En septembre, j'ai fait toutes les boutiques d'une galerie commerçante pour trouver une robe pour le mariage de ma sœur, c'était désespérant parce que les seules qui me plaisaient à peu près me faisaient vraiment un ventre de femme enceinte. Vu l'occasion, je voulais éviter ça à tout prix et je suis repartie les mains vides et complètement déprimée.Je ne sais pas s'il y a une solution imparable pour se protéger de ces remarques blessantes... En attendant, ""j'éduque"" les gens quand je peux en disant que le plus prudent c'est de ne jamais prendre l'initiative de ce sujet, parce qu'entre les PMA, les fausse-couches, celles qui sont vraiment enceintes mais ne veulent pas encore le dire ou pas dans ce contexte, celles qui ont accouché et pas repris la ligne, ça fait beaucoup trop d'options blessantes et/ou embarrassantes. Laissons donc les premiers concernés décider de ce qu'ils veulent dire et à quel moment !"
Annelo,2023-10-30T09:21:14+00:00,"Bonjour à toutes,Petite nouvelle sur ce super forum, je me demandais comment vous gériez les cycles ""perdus"" ?Ici on essaie depuis 2021, et il y a déjà 35 cycles de passés, dont 28 au ""bon"" moment.Mais mon conjoint est souvent en déplacement, et c'est vraiment dur pour moi de gérer ces cycles qui sont gâchés et de devoir attendre sans espoir à ce moment-là.Là mon conjoint est en Afrique depuis septembre et jusque fin novembre. Et ensuite on doit se protéger un mois de plus le temps de faire des tests sérologiques (zika), donc depuis septembre jusqu'à quasi janvier aucun essai en gros. C'est vraiment dur parce que j'avais vraiment l'espoir d'être enceinte avant son départ, qui était prévu depuis plus d'un an.Évidemment il ne comprend pas mon stress et ma douleur de l'attente, il dit toujours ""ça viendra quand ça viendra"".Ma famille lui en veut beaucoup d'être parti en Afrique alors qu'on est en essai bébé, donc en plus je dois défendre son projet professionnel alors que j'ai surtout besoin d'être moralement soutenue car je me sens très seule.Et en plus avec la clinique PMA ça fait déjà deux fois qu'on rate des cycles car ils tombent toujours pile durant les vacances de la clinique, là ça faire pareil avec les vacances de Noël...Et il y a la famille qui me demande chaque mois si ""ça avance"", donc grosse pression. Ma belle-mère a beaucoup de mal à accepter notre infertilité et les rendez-vous familiaux sont difficiles du coup. Chaque fois que j'accepte un petit verre d'alcool je sens la déception de mon entourage qui sait du coup que je ne suis pas enceinte, et je n'ose pas refuser de peur qu'ils prennent ça pour une évidence de grossesse.Bref, la pression est immense, et je me sens assez seule avec mon conjoint qui ne ressent pas la même chose et ne gère pas son emploi du temps sur les cycles.Merci d'avance pour vos réponses."
Annelo,2023-11-09T14:15:52+00:00,"Merci beaucoup pour ta réponse Xmsdr67 !Oui c'est vraiment dur de voir le temps filer comme ça, sans possibilité d'agir dessus.J'ai découvert quasi au moment où mon conjoint partait que c'était une zone zika, donc ça nous ait un peu tombé dessus.C'était un projet professionnel auquel il tenait vraiment beaucoup, qu'il attendait depuis deux ans lui aussi, je ne voulais pas qu'il puisse avoir de la rancœur d'avoir raté une opportunité à cause des essais bébé. Maintenant il sait qu'à son retour par contre on reste bien ensemble jusqu'à agrandissement de la famille !Niveau complément je n'ai que de l'acide folique et du gynéfam depuis deux ans, tu as pris d'autres choses ? Mon centre ne m'a rien proposé d'autre mais je leur demanderai au prochain rendez-vous. Et mon conjoint n'accepterait de prendre quelque chose que s'il y est contraint médicalement, je suis déjà bien contente qu'il accepte le parcours PMA donc je ne râle pas trop.J'ai hâte qu'il rentre déjà, et oui j'espère que 2024 sera une bonne année pour nous toutes !"
MathildeJ,2023-08-08T15:29:15+00:00,"Bonjour,Un point me travaille...Depuis qu'on a commencé la PMA, j'ai du mal à faire des projets normaux en-dehors... Prévoir des vacances, s'organiser pour les fêtes, planifier mes obligations professionnelles, acheter une robe pour le mariage auquel on est invités quelques mois plus tard... je trouve ça compliqué parce que je passe mon temps à calculer : ""si on commence le protocole à telle date alors à tel moment je serai peut-être enceinte de tant, et si je suis enceinte de tant je ne pourrai peut-être pas faire ci ou ça, et si c'est la période de stimulation et ponction il ne faut pas que j'aie d'événement important au travail"", etc...Ce printemps, on avait quand même réussi à planifier notre voyage de noces qu'on n'avait pas pu faire avant, mais en revoyant ce qu'on avait imaginé : pas de pays avec présence du virus zika, départ en juillet parce que j'aurais dû être à une période où on voyage facilement en cas de test positif ; ou où il n'y a pas de protocole parce que congés au centre PMA en cas de test négatif... Et puis on a tout annulé cinq jours avant le départ parce que l'échographie a révélé que la grossesse s'était arrêtée et qu'il a fallu prévoir une aspiration (de toute façon, je me voyais mal partir à l'étranger, même en si c'est dans l'UE, en attendant une fausse-couche certaine !!!)Résultat, en plus de me bloquer pour une grossesse potentielle, je vais aussi m'inquiéter d'un arrêt de grossesse. En tout cas, c'est ce que mon mari a exprimé : plus de projets à l'avance de voyage ou même de vacances tant qu'on est là-dedans, même si on espère être remboursés de celui-ci...Je sais qu'au bout d'un an, je ne suis qu'au début de la PMA et que ça peut durer encore longtemps, alors j'aimerais bien continuer à vivre aussi en parallèle de toute la procédure...Comment vous gérez ça ? Est-ce que vous mettez tout en pause ? Et pour les obligations professionnelles, est-ce qu'il y en a que vous ne pouvez pas refuser, et comment vous faites face à ça ?"
Laurak510,2023-08-08T16:36:29+00:00,"Bonjour Mathilde,Pour ma part, j'ai un premier rdv PMA en novembre donc le temps de faire les premiers examens j'ai quand même réservé des vacances pour les fêtes de fin d'année.Mais nous aimerions partir en Espagne en mai, et je me vois mal réserver un vol sans avoir eu un premier rétroplanning. Je pense que les délais sont longs, surtout dans notre cas qui nécessite une FIV, donc je prévois mes loisirs et vacances sans y penser pour le moment.Je pense que quand tu es rentrée dans tous ces protocoles il faut faire en sorte de pouvoir annuler tout ce que tu prévois quitte à prendre des assurances..."
missalex,2023-08-08T20:07:52+00:00,"MathildeJa écrit :↑08 août 2023 à 17:29Bonjour,Un point me travaille...Depuis qu'on a commencé la PMA, j'ai du mal à faire des projets normaux en-dehors... Prévoir des vacances, s'organiser pour les fêtes, planifier mes obligations professionnelles, acheter une robe pour le mariage auquel on est invités quelques mois plus tard... je trouve ça compliqué parce que je passe mon temps à calculer : ""si on commence le protocole à telle date alors à tel moment je serai peut-être enceinte de tant, et si je suis enceinte de tant je ne pourrai peut-être pas faire ci ou ça, et si c'est la période de stimulation et ponction il ne faut pas que j'aie d'événement important au travail"", etc...Ce printemps, on avait quand même réussi à planifier notre voyage de noces qu'on n'avait pas pu faire avant, mais en revoyant ce qu'on avait imaginé : pas de pays avec présence du virus zika, départ en juillet parce que j'aurais dû être à une période où on voyage facilement en cas de test positif ; ou où il n'y a pas de protocole parce que congés au centre PMA en cas de test négatif... Et puis on a tout annulé cinq jours avant le départ parce que l'échographie a révélé que la grossesse s'était arrêtée et qu'il a fallu prévoir une aspiration (de toute façon, je me voyais mal partir à l'étranger, même en si c'est dans l'UE, en attendant une fausse-couche certaine !!!)Résultat, en plus de me bloquer pour une grossesse potentielle, je vais aussi m'inquiéter d'un arrêt de grossesse. En tout cas, c'est ce que mon mari a exprimé : plus de projets à l'avance de voyage ou même de vacances tant qu'on est là-dedans, même si on espère être remboursés de celui-ci...Je sais qu'au bout d'un an, je ne suis qu'au début de la PMA et que ça peut durer encore longtemps, alors j'aimerais bien continuer à vivre aussi en parallèle de toute la procédure...Comment vous gérez ça ? Est-ce que vous mettez tout en pause ? Et pour les obligations professionnelles, est-ce qu'il y en a que vous ne pouvez pas refuser, et comment vous faites face à ça ?SalutJe pense que chaque couple a sa façon de gérer la chose, c’est très individuel au final.Pour mon cas au départ j’étais en mode Warrior et optimiste genre je mange, je bois et je dors pma et ça va vite payer. Ce qui fait qu’en plus de l’acide folique, je mangeais et buvais comme une femme enceinte 2 semaines sur 4 pour chaque cycle. Les essais ont mis 3 ans pour aboutir donc autant dire que ça a été long mais pour d’autres couples je sais que c’est encore bien plus long. Après quelques échecs on a aussi décidé de se marier et de ne plus faire de pma (on essayait à la maison).Avec le recul je me suis dit que j’étais complètement folle de m’appliquer les restrictions tant que je ne savais pas que j’étais enceinte alors j’ai arrêté de le faire pour les essais de bébé 2. Il faut être assez flexible pour tout décaler ou annuler au dernier moment car avec le calendrier de la pma et les stimulations on ne peut pas prévoir les choses parfaitement en avance. Je pense qu’il faut accepter ces petits sacrifices sinon c’est clair qu’on n’y arrive pas (a devenir enceinte).Il faut peut être y aller au feeling aussi genre un peu de sacrifices pendant un temps puis beaucoup de sacrifices puis plus du tout de sacrifices et tant pis pour les bonnes pratiques.J’ai remarqué aussi que c’était usant psychologiquement individuellement et pour le couple la pma, par conséquent s’accorder des moments où on lache prise et on ne vit pas que pour la pma c’est important. Car plus c’est long et plus cnest difficile.Bon courage à toi j’espère que tu vas trouver le bon équilibre."
azeleen29,2023-08-18T12:14:07+00:00,"Bonjour,D'accord avec Missalex : chaque couple gère comme il peut... et il faut pas trop culpabiliser avec ça surtout !!Je pense qu'il faut bien avoir en tête qu'à certain moment tu vas prioriser la PMA (pour des examens, opérations, ponctions, etc) et parfois ta vie privée.Si tu veux un exemple personnel :Nous avons fait un ""gros"" voyage en mai => nous avons sans regret pris la décision de prioriser de vivre ""normalement"" quitte à sacrifier la pma pendant un mois ou deux s'il le fallait... et on a bien fait !Par contre, comme je dois refaire un cycle de FIV entre fin septembre et début octobre surement, nous avons donc décidé de prioriser la PMA :- pour le travail : je me suis organisée pour caler des déplacements avant - ce qui n'est pas tjrs facile on est d'accord - et j'annulerais si besoin certains rdv,- pour la vie perso : on organise rien de compliqué pour limiter une pression supplémentaire (par contre rien n'empêche d'aller au resto, ciné, we pas trop loin, etc... on a déjà fait des piqures en soirée ou sur la route !)tout ça sans scrupule, parce que la pma sera ma priorité.Comme tu le dis, le parcours peut-être (très) long... alors c’est important de garder une vie la plus normale possible au quotidien et d'éviter d'avoir l'impression de passer à côté de certaine expérience/projet de vie.... Moralement ça permet de garder/recharger les batteries.Il faut aussi être attentif à l'autre : parfois c'est le conjoint qui veut une pause, parfois c'est toi mais lui veut continuer... pour avoir une bonne harmonie c’est important de communiquer sur l'état de fatigue ou sur le stress que le parcours engendre... et d'accepter d'aller au rythme de l'autre.Bref, difficile jeu d'équilibriste à certains moments...Bon courage pour la suite !!!"
